Time	 pkgIndex	 Status	 PR	 SPO2	 Signal	 SPO2_Real	 rrInterval	 Axis_X	 Axis_Y	 Axis_Z	 Resp_Sample	 IIr_Sample	 checkSum
03/01 20:53:25	 223	0	66	99	65	100	96	-6	-3	-64	19826	469270	0xee
03/01 20:53:25	 224	0	66	99	65	100	96	-6	-3	-64	19838	469605	0x4b
03/01 20:53:25	 225	0	66	99	65	100	96	-6	-3	-64	19838	469828	0x2c
03/01 20:53:25	 226	0	66	99	65	100	96	-6	-3	-64	19840	469927	0x92
03/01 20:53:26	 227	0	66	99	65	100	96	-6	-3	-64	19838	469907	0x7d
03/01 20:53:26	 228	0	66	99	65	100	96	-6	-3	-64	19839	469757	0xe8
03/01 20:53:26	 229	0	66	99	65	100	96	-6	-3	-64	19841	469533	0x0b
03/01 20:53:26	 230	0	66	99	65	100	96	-6	-3	-64	19844	469285	0x16
03/01 20:53:26	 231	0	66	99	65	100	96	-5	-3	-64	19845	469037	0x20
03/01 20:53:26	 232	0	66	99	65	100	96	-5	-3	-64	19850	468795	0x33
03/01 20:53:26	 233	0	66	99	65	100	96	-5	-3	-64	19855	468675	0xc0
03/01 20:53:26	 234	0	66	99	65	100	96	-5	-3	-64	19857	468626	0x92
03/01 20:53:26	 235	0	66	99	65	100	96	-5	-3	-64	19861	468697	0xde
03/01 20:53:26	 236	0	66	99	65	100	96	-5	-3	-64	19866	468861	0x89
03/01 20:53:26	 237	0	66	99	65	100	96	-5	-3	-64	19870	469164	0xbe
03/01 20:53:26	 238	0	66	99	65	100	96	-5	-3	-64	19872	469521	0x28
03/01 20:53:26	 239	0	66	99	65	100	96	-5	-3	-64	19871	469940	0xcc
03/01 20:53:26	 240	0	66	99	65	100	96	-5	-3	-64	19876	470467	0xe3
03/01 20:53:26	 241	0	66	99	65	100	96	-5	-3	-64	19878	470992	0xf5
03/01 20:53:26	 242	0	66	99	65	100	96	-5	-3	-64	19887	471579	0x4d
03/01 20:53:26	 243	0	66	99	65	100	96	-5	-3	-64	19879	472159	0x8c
03/01 20:53:26	 244	0	66	99	65	100	96	-5	-3	-64	19887	472773	0xfd
03/01 20:53:26	 245	0	66	99	65	100	96	-5	-3	-64	19892	473387	0x6c
03/01 20:53:26	 246	0	66	99	65	100	96	-5	-3	-64	19901	474028	0xf9
03/01 20:53:26	 247	0	66	99	65	100	96	-5	-3	-64	19912	474695	0xa3
03/01 20:53:26	 248	0	66	99	65	100	96	-5	-3	-64	19913	475346	0x32
03/01 20:53:26	 249	0	66	99	65	100	96	-5	-3	-64	19918	476024	0xe1
03/01 20:53:26	 250	0	66	99	65	100	96	-5	-3	-64	19924	476722	0xa5
03/01 20:53:26	 251	0	66	99	65	100	96	-5	-3	-65	19933	477404	0x5a
03/01 20:53:26	 252	0	66	99	65	100	96	-5	-3	-65	19936	478119	0x2c
03/01 20:53:26	 253	0	66	99	65	100	96	-5	-3	-65	19950	478797	0xe4
03/01 20:53:26	 254	0	66	99	65	100	96	-5	-3	-65	19949	479398	0x3f
03/01 20:53:26	 255	0	66	99	65	100	96	-5	-3	-65	19949	480065	0xde
03/01 20:53:26	 0	0	66	99	65	100	96	-5	-3	-65	19962	480669	0x4a
03/01 20:53:26	 1	0	66	99	65	100	96	-5	-3	-65	19966	481192	0x5c
03/01 20:53:26	 2	0	66	99	65	100	96	-5	-3	-65	19972	481793	0xc0
03/01 20:53:26	 3	0	66	99	65	100	96	-5	-3	-65	19978	482322	0xda
03/01 20:53:26	 4	0	66	99	65	100	96	-5	-3	-65	19984	482852	0xf5
03/01 20:53:26	 5	0	66	99	65	100	96	-5	-3	-64	19980	483390	0x0f
03/01 20:53:26	 6	0	66	99	65	100	96	-5	-3	-64	19996	483909	0x29
03/01 20:53:26	 7	0	66	99	65	100	96	-5	-3	-64	19995	484420	0x2a
03/01 20:53:26	 8	0	66	99	65	100	96	-5	-3	-64	19998	484874	0xf6
03/01 20:53:26	 9	0	66	99	65	100	96	-5	-3	-64	20014	485379	0x02
03/01 20:53:26	 10	0	66	99	65	100	96	-5	-3	-64	20013	485894	0x07
03/01 20:53:26	 11	0	66	99	65	100	96	-5	-3	-64	20026	486372	0xf4
03/01 20:53:26	 12	0	66	99	65	100	96	-5	-3	-64	20034	486916	0x20
03/01 20:53:26	 13	0	66	99	65	100	96	-5	-3	-64	20046	487444	0x3f
03/01 20:53:26	 14	0	66	99	65	100	96	-5	-3	-64	20056	487922	0x29
03/01 20:53:26	 15	0	66	99	65	100	96	-5	-3	-64	20070	488462	0x57
03/01 20:53:26	 16	0	66	99	65	100	96	-5	-3	-64	20079	488962	0x57
03/01 20:53:26	 17	0	66	99	65	100	96	-5	-3	-64	20091	489443	0x46
03/01 20:53:26	 18	0	66	99	65	100	96	-5	-3	-64	20108	489945	0x50
03/01 20:53:26	 19	0	66	99	65	100	96	-5	-3	-64	20118	490485	0x79
03/01 20:53:26	 20	0	66	99	65	100	96	-5	-3	-64	20127	491035	0xac
03/01 20:53:26	 21	0	66	99	65	100	96	-5	-3	-64	20142	491561	0xcc
03/01 20:53:26	 22	0	66	99	65	100	96	-5	-3	-64	20153	492117	0x06
03/01 20:53:26	 23	0	66	99	65	100	96	-5	-3	-64	20168	492680	0x4b
03/01 20:53:26	 24	0	66	99	65	100	96	-5	-3	-64	20183	493292	0xc1
03/01 20:53:26	 25	0	66	99	65	100	96	-5	-3	-64	20187	493947	0x58
03/01 20:53:26	 26	0	66	99	65	100	96	-5	-3	-64	20195	494605	0xf6
03/01 20:53:26	 27	0	66	99	65	100	96	-5	-3	-64	20209	495306	0xc4
03/01 20:53:26	 28	0	66	99	65	100	96	-5	-3	-64	20213	495925	0x37
03/01 20:53:26	 29	0	66	99	65	100	96	-5	-3	-64	20223	496374	0x04
03/01 20:53:26	 30	0	66	99	65	100	96	-5	-3	-64	20235	496432	0x4d
03/01 20:53:26	 31	0	66	99	65	100	96	-5	-3	-64	20240	495727	0x8f
03/01 20:53:26	 32	0	66	99	65	100	96	-5	-3	-64	20244	494084	0x23
03/01 20:53:26	 33	0	66	99	65	100	96	-5	-3	-64	20255	491423	0xbf
03/01 20:53:26	 34	0	66	99	65	100	96	-5	-3	-64	20250	487728	0x3e
03/01 20:53:26	 35	0	66	99	65	100	96	-5	-3	-64	20256	483359	0x23
03/01 20:53:26	 36	0	66	99	65	100	96	-5	-3	-64	20247	479019	0x16
03/01 20:53:26	 37	0	66	99	65	100	96	-5	-3	-64	20255	475425	0x07
03/01 20:53:26	 38	0	66	99	65	100	96	-5	-3	-64	20261	472759	0x99
03/01 20:53:26	 39	0	66	99	65	100	96	-5	-3	-64	20268	470819	0x06
03/01 20:53:26	 40	0	66	99	65	100	96	-5	-3	-64	20264	469464	0xb2
03/01 20:53:26	 41	0	66	99	65	100	96	-5	-3	-64	20270	468588	0x4a
03/01 20:53:26	 42	0	66	99	65	100	96	-5	-3	-64	20268	468022	0x11
03/01 20:53:26	 43	0	66	99	65	100	96	-5	-3	-64	20271	467750	0x04
03/01 20:53:26	 44	0	66	99	65	100	96	-5	-3	-64	20284	467688	0xd3
03/01 20:53:26	 45	0	66	99	65	100	96	-5	-2	-64	20280	467728	0xfa
03/01 20:53:26	 46	0	66	99	65	100	96	-5	-2	-64	20281	467859	0x7f
03/01 20:53:26	 47	0	66	99	65	100	96	-5	-2	-64	20290	468020	0x2b
03/01 20:53:26	 48	0	66	99	65	100	96	-5	-2	-64	20297	468186	0xd9
03/01 20:53:26	 49	0	66	99	65	100	96	-5	-2	-64	20303	468341	0x7c
03/01 20:53:26	 50	0	66	99	65	100	96	-5	-2	-64	20307	468434	0xde
03/01 20:53:26	 51	0	66	99	65	100	96	-5	-2	-64	20314	468547	0x58
03/01 20:53:26	 52	0	66	99	65	100	96	-5	-2	-64	20313	468655	0xc4
03/01 20:53:26	 53	0	66	99	65	100	96	-5	-2	-64	20323	468748	0x2d
03/01 20:53:26	 54	0	66	99	65	100	96	-5	-2	-64	20320	468973	0x0c
03/01 20:53:26	 55	0	66	99	65	100	96	-5	-2	-64	20326	469272	0x40
03/01 20:53:26	 56	0	66	99	65	100	96	-5	-2	-64	20319	469626	0x9d
03/01 20:53:26	 57	8	66	99	65	100	93	-5	-2	-64	20318	470146	0xac
03/01 20:53:26	 58	0	66	99	65	100	93	-5	-2	-64	20321	470714	0xe2
03/01 20:53:26	 59	0	66	99	65	100	93	-5	-2	-64	20329	471214	0xe1
03/01 20:53:26	 60	0	66	99	65	100	93	-5	-2	-64	20323	471658	0x9a
03/01 20:53:26	 61	0	66	99	65	100	93	-5	-2	-64	20321	471991	0xe7
03/01 20:53:26	 62	0	66	99	65	100	93	-5	-2	-64	20319	472116	0x64
03/01 20:53:26	 63	0	66	99	65	100	93	-5	-2	-64	20314	472108	0x58
03/01 20:53:26	 64	0	66	99	65	100	93	-5	-2	-64	20318	471984	0xe0
03/01 20:53:26	 65	0	66	99	65	100	93	-5	-3	-64	20321	471687	0xb9
03/01 20:53:26	 66	0	66	99	65	100	93	-5	-3	-64	20319	471398	0x96
03/01 20:53:26	 67	0	66	99	65	100	93	-5	-3	-64	20315	471097	0x65
03/01 20:53:26	 68	0	66	99	65	100	93	-5	-3	-64	20318	470803	0x42
03/01 20:53:26	 69	0	66	99	65	100	93	-5	-3	-64	20318	470585	0x68
03/01 20:53:27	 70	0	66	99	65	100	93	-5	-3	-64	20316	470469	0xf2
03/01 20:53:27	 71	0	66	99	65	100	93	-5	-3	-64	20319	470488	0x09
