Time	 pkgIndex	 Status	 PR	 SPO2	 Signal	 SPO2_Real	 rrInterval	 Axis_X	 Axis_Y	 Axis_Z	 Resp_Sample	 IIr_Sample	 checkSum
03/04 21:53:18	 72	0	76	100	135	100	83	-2	-4	-64	20050	514846	0x39
03/04 21:53:18	 73	0	76	100	135	100	83	-2	-4	-64	20051	516025	0xda
03/04 21:53:19	 74	0	76	100	135	100	83	-2	-4	-64	20057	517198	0x7b
03/04 21:53:19	 75	0	76	100	135	100	83	-2	-4	-64	20064	518282	0xc3
03/04 21:53:19	 76	0	76	100	135	100	83	-2	-4	-64	20063	519094	0xf2
03/04 21:53:19	 77	0	76	100	135	100	83	-2	-4	-64	20066	519166	0x3e
03/04 21:53:19	 78	0	76	100	135	100	83	-2	-4	-64	20071	518012	0xbe
03/04 21:53:19	 79	0	76	100	135	100	83	-2	-4	-64	20069	515277	0x03
03/04 21:53:19	 80	0	76	100	135	100	83	-2	-4	-64	20079	510534	0x75
03/04 21:53:19	 81	0	76	100	135	100	83	-2	-4	-64	20089	503672	0x97
03/04 21:53:19	 82	0	76	100	135	100	83	-2	-4	-64	20085	495234	0x7d
03/04 21:53:19	 83	0	76	100	135	100	83	-2	-4	-64	20083	486219	0x22
03/04 21:53:19	 84	0	76	100	135	100	83	-2	-4	-64	20093	477528	0x18
03/04 21:53:19	 85	0	76	100	135	100	83	-2	-4	-64	20092	469874	0x14
03/04 21:53:19	 86	0	76	100	135	100	83	-2	-4	-64	20092	463621	0x90
03/04 21:53:19	 87	0	76	100	135	100	83	-2	-4	-64	20105	458904	0x1e
03/04 21:53:19	 88	0	76	100	135	100	83	-2	-4	-64	20101	455712	0x96
03/04 21:53:19	 89	0	76	100	135	100	83	-2	-4	-64	20098	453829	0x31
03/04 21:53:19	 90	0	76	100	135	100	83	-2	-4	-64	20106	453116	0x6e
03/04 21:53:19	 91	0	76	100	135	100	83	-2	-4	-64	20110	453294	0x26
03/04 21:53:19	 92	0	76	100	135	100	83	-2	-4	-64	20105	454001	0xe8
03/04 21:53:19	 93	0	76	100	135	100	83	-2	-4	-64	20116	455057	0x18
03/04 21:53:19	 94	0	76	100	135	100	83	-2	-4	-64	20114	456351	0x2a
03/04 21:53:19	 95	0	76	100	135	100	83	-2	-4	-64	20114	457676	0x5d
03/04 21:53:19	 96	0	76	100	135	100	83	-2	-4	-64	20119	458952	0x65
03/04 21:53:19	 97	0	76	100	135	100	83	-2	-4	-64	20114	460187	0x39
03/04 21:53:19	 98	0	76	100	135	100	83	-2	-4	-65	20107	461349	0xc1
03/04 21:53:19	 99	0	76	100	135	100	83	-2	-4	-65	20120	462510	0x5c
03/04 21:53:19	 100	0	76	100	135	100	83	-2	-4	-65	20118	463701	0x07
03/04 21:53:19	 101	0	76	100	135	100	83	-2	-4	-65	20119	465039	0x48
03/04 21:53:19	 102	0	76	100	135	100	83	-2	-4	-65	20118	466676	0xb3
03/04 21:53:19	 103	0	76	100	135	100	83	-2	-4	-65	20119	468537	0x02
03/04 21:53:19	 104	8	75	100	136	100	80	-2	-4	-65	20118	470615	0x2d
03/04 21:53:19	 105	0	75	100	136	100	80	-2	-4	-65	20121	472813	0xc7
03/04 21:53:19	 106	0	75	100	136	100	80	-2	-4	-65	20121	474876	0xdf
03/04 21:53:19	 107	0	75	100	136	100	80	-2	-4	-65	20120	476633	0xc3
03/04 21:53:19	 108	0	75	100	136	100	80	-2	-4	-64	20126	477988	0x1c
03/04 21:53:19	 109	0	75	100	136	100	80	-2	-4	-64	20124	478846	0x78
03/04 21:53:19	 110	0	75	100	136	100	80	-2	-4	-64	20120	479203	0xdb
03/04 21:53:19	 111	0	75	100	136	100	80	-2	-4	-64	20126	479189	0xd4
03/04 21:53:19	 112	0	75	100	136	100	80	-2	-4	-64	20126	478834	0x71
03/04 21:53:19	 113	0	75	100	136	100	80	-2	-4	-64	20126	478327	0x75
03/04 21:53:19	 114	0	75	100	136	100	80	-2	-4	-64	20134	477799	0x6c
03/04 21:53:19	 115	0	75	100	136	100	80	-2	-4	-64	20136	477341	0xa3
03/04 21:53:19	 116	0	75	100	136	100	80	-2	-4	-64	20126	476981	0x31
03/04 21:53:19	 117	0	75	100	136	100	80	-2	-4	-64	20140	476791	0x81
03/04 21:53:19	 118	0	75	100	136	100	80	-2	-4	-64	20145	476868	0xd4
03/04 21:53:19	 119	0	75	100	136	100	80	-2	-4	-64	20145	477095	0xb9
03/04 21:53:19	 120	0	75	100	136	100	80	-2	-4	-64	20151	477569	0x9c
03/04 21:53:19	 121	0	75	100	136	100	80	-2	-4	-64	20150	478313	0x87
03/04 21:53:19	 122	0	75	100	136	100	80	-2	-4	-64	20156	479223	0x1f
03/04 21:53:19	 123	0	75	100	136	100	80	-2	-4	-64	20160	480301	0x5f
03/04 21:53:19	 124	0	75	100	136	100	80	-2	-4	-64	20163	481504	0x1a
03/04 21:53:19	 125	0	75	100	136	100	80	-2	-4	-64	20162	482822	0x46
